seed,model,accuracy,f1,precision,recall,auc,sharpe,max_dd,ann_ret
456,Logistic Regression,0.5153949129852744,0.3143939393939394,0.6484375,0.2075,0.5403962536023055,1.160725185181302,-0.13760450292560425,0.14993049438303108
456,Random Forest,0.5207496653279786,0.2896825396825397,0.7019230769230769,0.1825,0.5804971181556196,-1.5508517107487703,-0.486944899800903,-0.18559704965611057
456,XGBoost,0.5020080321285141,0.21518987341772153,0.6891891891891891,0.1275,0.5141210374639769,-1.231625768177882,-0.4368374942198403,-0.15208918226352397
456,SVM (RBF),0.5287817938420348,0.3972602739726027,0.6304347826086957,0.29,0.5779971181556196,-2.4087164932357057,-0.6185688523364835,-0.2682630642214622
456,Neural Network,0.5020080321285141,0.2734375,0.625,0.175,0.5537391930835736,-1.8409739256160933,-0.5545799272497896,-0.21473895123731634
456,"VQC (4q,1r)",0.44176706827309237,0.5596620908130939,0.4844606946983547,0.6625,0.44176706827309237,-0.2588965751780863,-0.28321589233409034,-0.04036696884994406
789,Logistic Regression,0.5153949129852744,0.3143939393939394,0.6484375,0.2075,0.5403962536023055,1.160725185181302,-0.13760450292560425,0.14993049438303108
789,Random Forest,0.5247657295850067,0.3238095238095238,0.68,0.2125,0.5926368876080692,-1.4669212149009174,-0.4859953176329001,-0.17693921391298517
789,XGBoost,0.5020080321285141,0.21518987341772153,0.6891891891891891,0.1275,0.5141210374639769,-1.231625768177882,-0.4368374942198403,-0.15208918226352397
789,SVM (RBF),0.5287817938420348,0.3972602739726027,0.6304347826086957,0.29,0.5780259365994236,-2.4087164932357057,-0.6185688523364835,-0.2682630642214622
789,Neural Network,0.5073627844712182,0.28957528957528955,0.635593220338983,0.1875,0.5558933717579251,0.7131685211259542,-0.12110215448471233,0.08636445324228093
789,"VQC (4q,1r)",0.4819277108433735,0.5526011560693641,0.513978494623656,0.5975,0.4819277108433735,0.055184173573506794,-0.28664984948549715,-0.0010986584979632008
1000,Logistic Regression,0.5153949129852744,0.3143939393939394,0.6484375,0.2075,0.5403962536023055,1.160725185181302,-0.13760450292560425,0.14993049438303108
1000,Random Forest,0.5113788487282463,0.26262626262626265,0.6842105263157895,0.1625,0.5817723342939481,-1.0467178363035738,-0.3671795389382983,-0.13198728648206137
1000,XGBoost,0.5020080321285141,0.21518987341772153,0.6891891891891891,0.1275,0.5141210374639769,-1.231625768177882,-0.4368374942198403,-0.15208918226352397
1000,SVM (RBF),0.5287817938420348,0.3972602739726027,0.6304347826086957,0.29,0.5779971181556195,-2.4087164932357057,-0.6185688523364835,-0.2682630642214622
1000,Neural Network,0.5475234270414994,0.35984848484848486,0.7421875,0.2375,0.5968083573487032,-0.543714536002319,-0.2924730344449416,-0.07463731615227032
1000,"VQC (4q,1r)",0.5167336010709505,0.592090395480226,0.5402061855670103,0.655,0.5167336010709505,-0.008469462645036431,-0.21186513543090787,-0.00920089998244733
1111,Logistic Regression,0.5153949129852744,0.3143939393939394,0.6484375,0.2075,0.5403962536023055,1.160725185181302,-0.13760450292560425,0.14993049438303108
1111,Random Forest,0.5247657295850067,0.2799188640973631,0.7419354838709677,0.1725,0.5864048991354467,-2.06281512254222,-0.5792858191133331,-0.23618299911758134
1111,XGBoost,0.5020080321285141,0.21518987341772153,0.6891891891891891,0.1275,0.5141210374639769,-1.231625768177882,-0.4368374942198403,-0.15208918226352397
1111,SVM (RBF),0.5287817938420348,0.3972602739726027,0.6304347826086957,0.29,0.5779971181556195,-2.4087164932357057,-0.6185688523364835,-0.2682630642214622
1111,Neural Network,0.5113788487282463,0.35168738898756663,0.6073619631901841,0.2475,0.5689985590778098,-1.5441919950595062,-0.46327205473178495,-0.18491357022008592
1111,"VQC (4q,1r)",0.5435073627844712,0.462992125984252,0.625531914893617,0.3675,0.5435073627844712,0.2928085358059253,-0.17700535609636325,0.029663120634415785
2024,Logistic Regression,0.5153949129852744,0.3143939393939394,0.6484375,0.2075,0.5403962536023055,1.160725185181302,-0.13760450292560425,0.14993049438303108
2024,Random Forest,0.5073627844712182,0.26693227091633465,0.6568627450980392,0.1675,0.6016282420749279,-2.2379923336056007,-0.593068103602761,-0.2526374090335859
2024,XGBoost,0.5020080321285141,0.21518987341772153,0.6891891891891891,0.1275,0.5141210374639769,-1.231625768177882,-0.4368374942198403,-0.15208918226352397
